epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
1,17.712,26.7,2.2402958955301346,1.973244080543518,0.1
2,31.184,34.97,1.8347770021394696,1.7021131539344787,0.09999383162408304
3,38.626,42.3,1.6384296264794782,1.5651247489452362,0.09997532801828658
4,47.166,49.44,1.423009045898457,1.3965816950798036,0.09994449374809851
5,56.694,56.04,1.2002307792453815,1.3415923249721526,0.09990133642141359
6,63.526,42.54,1.037479864666834,1.9370848643779754,0.09984586668665642
7,67.552,67.95,0.9184915030094059,0.9614449471235276,0.09977809823015402
8,71.208,66.54,0.8235203183215597,0.9817844241857528,0.09969804777275901
9,74.034,63.85,0.7516264032067546,1.164822837114334,0.09960573506572391
10,75.346,72.27,0.7082518980173809,0.8341924721002578,0.09950118288582789
11,77.232,72.19,0.6648090242424889,0.8542626219987869,0.09938441702975691
12,78.064,76.26,0.6405081226850105,0.706230848133564,0.09925546630773871
13,78.94,68.9,0.6164373760028263,0.9689481061697006,0.09911436253643445
14,79.234,67.02,0.6006036444240824,1.0589694899320603,0.0989611405310883
15,79.876,78.29,0.584892672727175,0.6319376695156097,0.09879583809693739
16,80.93,79.11,0.5627340666016044,0.6251665797829628,0.09861849601988384
17,81.028,78.53,0.5553683042526245,0.6304113483428955,0.09842915805643157
18,81.33,78.76,0.5478054359745796,0.6090251651406288,0.09822787092288993
19,81.598,75.6,0.5350125460978359,0.7281431260704995,0.09801468428384717
20,82.222,77.5,0.5270002768625079,0.6646904623508454,0.09778965073991652
21,82.308,77.45,0.5132370245883532,0.6615969771146775,0.0975528258147577
22,82.936,71.12,0.5032754934504818,0.9035143584012986,0.09730426794137728
23,82.658,76.45,0.5041087624209616,0.7280163529515267,0.09704403844771128
24,83.034,80.0,0.4953337840716857,0.5863293337821961,0.09677220154149338
25,83.2,79.41,0.4883644545017301,0.6201187694072723,0.09648882429441258
26,83.342,82.2,0.489032721199343,0.5363832819461822,0.09619397662556435
27,83.688,79.0,0.4766791565034091,0.6242382210493088,0.09588773128419906
28,83.862,79.19,0.473801384115463,0.6159938478469849,0.09557016383177226
29,83.79,79.84,0.4699831612579658,0.6163562199473381,0.09524135262330098
30,84.322,81.31,0.46446278622693116,0.5562986680865287,0.09490137878803079
31,83.784,81.47,0.4698325423023585,0.5396971011161804,0.0945503262094184
32,84.468,80.31,0.45339037150220796,0.5771074146032333,0.0941882815044347
33,84.49,76.93,0.45827588621917587,0.7185893189907074,0.09381533400219319
34,84.568,80.72,0.4504872759056213,0.5933294919133186,0.09343157572190958
35,84.766,73.26,0.44528596019348526,0.8427260747551918,0.0930371013501972
36,85.09,77.61,0.4374143499928667,0.6923360884189605,0.09263200821770463
37,84.82,79.23,0.4448289198948599,0.6477912804484367,0.09221639627510078
38,85.284,81.62,0.438342135351942,0.5467694434523582,0.09179036806841355
39,84.962,78.78,0.43793491192181094,0.6372726875543594,0.09135402871372812
40,85.154,76.67,0.4330052102313322,0.748653272986412,0.0909074858712512
41,85.214,81.71,0.43218889565723934,0.54268898665905,0.09045084971874741
42,85.668,74.99,0.42673060953464653,0.7943789732456207,0.08998423292435458
43,85.422,83.48,0.4228638065288134,0.5055399632453919,0.08950775061878455
44,85.252,78.95,0.42928008674203283,0.6432253876328469,0.08902152036691653
45,85.662,76.46,0.4218493347125285,0.7128344979882241,0.08852566213878951
46,85.742,81.27,0.4171590112587985,0.5563724887371063,0.0880202982800016
47,85.706,75.27,0.4183944625699002,0.8231453588604927,0.08750555348152303
48,85.894,81.57,0.41581814322630156,0.5712487494945526,0.08698155474893052
49,85.848,79.78,0.414519933407264,0.5985574442148208,0.08644843137107061
50,86.136,73.44,0.40852280807159747,0.9042692047357559,0.08590631488815947
51,86.366,83.21,0.40417829723766696,0.5122918531298637,0.0853553390593274
52,86.258,81.04,0.40257964841545085,0.6009271639585495,0.08479563982961574
53,86.388,74.49,0.40221533689962324,0.8387330776453018,0.08422735529643446
54,86.074,82.86,0.40283394938387224,0.5221476635336876,0.08365062567548869
55,86.63,81.41,0.39088929633197883,0.5896033573150635,0.08306559326618261
56,86.714,84.33,0.3918582742171519,0.45768538400530817,0.0824724024165092
57,86.744,82.27,0.39174376351906515,0.5431617411971092,0.0818711994874345
58,86.762,83.89,0.3867381386211156,0.48540137097239494,0.08126213281678528
59,86.83,86.02,0.38628083055891344,0.41819945588707924,0.08064535268264884
60,86.944,80.49,0.38182268872895203,0.6019625440239906,0.08002101126629421
61,86.704,83.18,0.3857405100332197,0.5347166253626346,0.07938926261462367
62,87.022,84.08,0.38296975031533204,0.48456456646323204,0.07875026260216395
63,87.084,82.93,0.3790467074688743,0.5201867952942848,0.07810416889260656
64,87.224,83.81,0.37184038640135697,0.5108897066116334,0.07745114089990661
65,87.488,85.24,0.3694490249961843,0.4472940281033516,0.07679133974894985
66,87.524,82.82,0.3712817430496216,0.5192087461054326,0.07612492823579746
67,87.36,82.77,0.3694457558491041,0.5014902853965759,0.07545207078751859
68,87.402,81.47,0.36659541611781205,0.5468572798371315,0.0747729334216204
69,87.82,84.85,0.36202768070618513,0.47114039093256,0.07408768370508578
70,87.58,82.62,0.3622372925205304,0.5244082656502723,0.0733964907130287
71,87.546,82.85,0.36461831316771104,0.5110420036315918,0.07269952498697736
72,87.766,79.54,0.3568261549295977,0.6369904252886772,0.07199695849279578
73,87.934,83.01,0.35478256147383425,0.5099832561612129,0.07128896457825366
74,88.004,80.83,0.3490643130086572,0.5959248945116997,0.07057571793025548
75,88.162,83.59,0.34654069644258456,0.4827222393453121,0.06985739453173906
76,88.038,83.98,0.3490304715950471,0.5023477503657341,0.06913417161825453
77,88.094,85.08,0.34790494233903374,0.4512862415611744,0.06840622763423394
78,88.192,84.21,0.3436687133844246,0.48551409333944323,0.0676737421889629
79,88.324,85.71,0.3401492382864208,0.42671181857585905,0.06693689601226462
80,88.376,84.83,0.33921211451063377,0.4613175097107887,0.06619587090990751
81,88.504,82.69,0.33577470313710023,0.5158509257435798,0.06545084971874741
82,88.49,84.32,0.33605892182616015,0.4856163486838341,0.06470201626161524
83,88.726,85.26,0.3300997175066672,0.4503156654536724,0.06394955530196152
84,88.816,84.14,0.32798804270337,0.49349941939115527,0.06319365249826868
85,88.914,86.49,0.32522273736307994,0.43016547232866287,0.06243449435824277
86,89.348,82.57,0.31534611073601276,0.5375128144025803,0.06167226819279532
87,88.9,78.97,0.3213144088416453,0.6602671557664871,0.06090716206982718
88,89.088,85.63,0.3222348161441896,0.4207249093055725,0.06013936476782568
89,89.234,86.08,0.3155125009129419,0.427571013122797,0.05936906572928629
90,89.354,86.25,0.31084044285290074,0.40682374984025954,0.05859645501397052
91,89.246,84.33,0.3121674437733257,0.49411752313375473,0.05782172325201159
